ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1098554,HZ239907,4/4/2016 13:56,007XX E 111TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,531,5,9,50,11,1183356,1831503,2016,5/11/2016 15:48,,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
1056598,HZ258664,4/15/2016 17:00,082XX S MARSHFIELD AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,614,6,21,71,6,1166776,1850053,2016,5/12/2016 15:48,,41.74410697,-87.66449429,"(41.744106973, -87.664494285)"
1053196,HZ261252,4/15/2016 10:00,104XX S SACRAMENTO AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,2211,22,19,74,11,,,2016,5/12/2016 15:50,,,,
1051991,HZ261534,4/15/2016 9:00,113XX S PRAIRIE AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,531,5,9,49,10,,,2016,5/13/2016 15:51,,,,
1534446,HZ277630,4/15/2016 10:00,055XX N KEDZIE AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1712,17,40,13,6,,,2016,5/25/2016 15:59,,,,
1035059,HZ278872,4/15/2016 4:30,004XX S KILBOURN AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1131,11,24,26,6,,,2016,5/25/2016 15:59,,,,
1049802,HZ240778,4/15/2016 10:00,010XX N MILWAUKEE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,1213,12,27,24,11,,,2016,5/27/2016 15:45,,,,
1052293,HZ264802,4/15/2016 16:00,019XX W DIVISION ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESTAURANT,FALSE,FALSE,1424,14,1,24,11,1163094,1908003,2016,5/16/2016 15:48,,41.90320604,-87.67636193,"(41.903206037, -87.676361925)"
1052311,HZ265911,4/15/2016 8:00,061XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2433,24,48,77,11,,,2016,5/16/2016 15:50,,,,
1052587,HZ268138,4/15/2016 15:00,023XX W EASTWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1911,19,47,4,11,,,2016,5/18/2016 15:50,,,,
2705685,HJ329710,4/26/2003 0:00,105XX S WOOD ST,460,BATTERY,SIMPLE,RESIDENCE,4615,FALSE,FALSE,2212,NA,19,72,08B,1166261,1834693,2003,ERROR,41.70196772,-87.66681705,"(41.701967722, -87.666817049)"
8367900,HT600798,11/22/2011 15:15,063XX S PULASKI RD,890,THEFT,FROM BUILDING,LIBRARY,3882,FALSE,FALSE,813,8,13,65,6,1150746,1862490,2011,ERROR,41.77856307,-87.72290706,"(41.778563069, -87.722907063)"
8726660,HV402430,7/26/2012 19:30,019XX W BELMONT AVE,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,4566,FALSE,FALSE,1931,19,32,5,5,1162975,1921223,2012,ERROR,41.93948508,-87.67642705,"(41.939485082, -87.676427052)"
9103375,HW247768,4/25/2013 14:20,047XX S ASHLAND AVE,460,BATTERY,SIMPLE,SIDEWALK,2469,FALSE,FALSE,931,9,20,61,08B,1166425,1873469,2013,ERROR,41.80837097,-87.66511371,"(41.808370972, -87.665113707)"
3807148,HL176623,2/12/2005 1:24,078XX S EAST END AVE,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,ALLEY,989,FALSE,FALSE,414,4,8,43,7,1188944,1853066,2005,ERROR,41.7518734,-87.58317308,"(41.751873397, -87.583173082)"
4241820,HL534761,8/7/2005 21:12,068XX S MARSHFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,3807,FALSE,FALSE,725,7,17,67,08B,1166478,1859475,2005,ERROR,41.76996859,-87.66531812,"(41.769968592, -87.665318117)"
4824796,HM433465,6/23/2006 22:15,105XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1504,FALSE,FALSE,512,5,34,49,14,1178075,1835093,2006,ERROR,41.70280634,-87.62354573,"(41.702806335, -87.623545729)"
8172753,HT407165,7/20/2011 17:50,021XX W 21ST PL,820,THEFT,$500 AND UNDER,RESIDENCE,262,FALSE,FALSE,1223,12,25,31,6,1162541,1889761,2011,3/8/2011 9:56,41.85316,-87.67890413,"(41.853160001, -87.678904133)"
8154927,HT390078,7/10/2011 15:50,046XX W NORTH AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2972,TRUE,FALSE,2533,25,37,25,6,1144852,1910260,2011,11/7/2011 10:34,41.9097633,-87.74331204,"(41.909763298, -87.743312036)"
6944181,HR349635,5/30/2009 18:13,015XX W 63RD ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,1296,FALSE,FALSE,713,7,16,67,3,1167116,1862990,2009,12/6/2009 18:29,41.77960058,-87.66287903,"(41.779600581, -87.662879029)"
5836733,HN643782,10/12/2007 14:00,027XX W SUMMERDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,3105,FALSE,FALSE,2011,20,40,4,14,1157009,1935459,2007,ERROR,41.97867286,-87.6979659,"(41.978672864, -87.697965904)"
7740163,HS548309,10/4/2010 21:30,057XX N WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,594,TRUE,FALSE,2011,20,40,2,18,1157257,1938221,2010,4/10/2010 23:26,41.98624687,-87.69697841,"(41.986246871, -87.696978408)"
4984650,HM597309,9/11/2006 18:30,052XX S STATE ST,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",1591,FALSE,FALSE,232,2,3,40,6,1177212,1869954,2006,ERROR,41.79848852,-87.62565587,"(41.798488523, -87.625655865)"
3941717,HL312501,4/22/2005 8:00,069XX S EBERHART AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1397,FALSE,TRUE,322,3,6,69,08B,1180740,1858964,2005,ERROR,41.76825049,-87.6130557,"(41.76825049, -87.613055702)"
5084563,HM687682,10/28/2006 14:30,022XX S PULASKI RD,560,ASSAULT,SIMPLE,STREET,2224,FALSE,FALSE,1013,10,22,29,08A,1150013,1889063,2006,ERROR,41.85149741,-87.72490456,"(41.851497405, -87.724904562)"
8136835,HT371007,6/28/2011 23:20,011XX N CHRISTIANA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,538,TRUE,FALSE,1121,11,26,23,18,1153742,1907328,2011,ERROR,41.90154517,-87.71073185,"(41.901545171, -87.710731851)"
1815636,G631826,10/20/2001 18:30,046XX S HALSTED ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,2501,TRUE,FALSE,921,NA,NA,NA,26,1171705,1874218,2001,ERROR,41.81031202,-87.64572596,"(41.810312019, -87.645725963)"
